"geo_accession","Sample","Lifestage","Sex","Condition"
"GSM4550709","CAH1F","adult","female","control"
"GSM4550710","CAH1M","adult","male","control"
"GSM4550711","CAH2F","adult","female","control"
"GSM4550712","CAH2M","adult","male","control"
"GSM4550713","CAH3F","adult","female","control"
"GSM4550714","CAH3M","adult","male","control"
"GSM4550715","CAH4F","adult","female","control"
"GSM4550716","CAH4M","adult","male","control"
"GSM4550717","CAH5F","adult","female","control"
"GSM4550718","CAH5M","adult","male","control"
"GSM4550719","CAH6F","adult","female","control"
"GSM4550720","CAH6M","adult","male","control"
"GSM4550721","CAH7F","adult","female","control"
"GSM4550722","CAH7M","adult","male","control"
"GSM4550723","CAH8F","adult","female","control"
"GSM4550724","CAH8M","adult","male","control"
"GSM4550725","CAL1F","adult","female","control"
"GSM4550726","CAL1M","adult","male","control"
"GSM4550727","CAL2F","adult","female","control"
"GSM4550728","CAL2M","adult","male","control"
"GSM4550729","CAL3F","adult","female","control"
"GSM4550730","CAL3M","adult","male","control"
"GSM4550731","CAL4F","adult","female","control"
"GSM4550732","CAL4M","adult","male","control"
"GSM4550733","CAL5F","adult","female","control"
"GSM4550734","CAL5M","adult","male","control"
"GSM4550735","CAL6F","adult","female","control"
"GSM4550736","CAL6M","adult","male","control"
"GSM4550737","CAL7F","adult","female","control"
"GSM4550738","CAL7M","adult","male","control"
"GSM4550739","CAL8F","adult","female","control"
"GSM4550740","CAL8M","adult","male","control"
"GSM4550741","CLH1","larvae","unknown","control"
"GSM4550742","CLH2","larvae","unknown","control"
"GSM4550743","CLH3","larvae","unknown","control"
"GSM4550744","CLH4","larvae","unknown","control"
"GSM4550745","CLL1","larvae","unknown","control"
"GSM4550746","CLL2","larvae","unknown","control"
"GSM4550747","CLL3","larvae","unknown","control"
"GSM4550748","CLL4","larvae","unknown","control"
"GSM4550749","FAH1F","adult","female","fluctuating"
"GSM4550750","FAH1M","adult","male","fluctuating"
"GSM4550751","FAH2F","adult","female","fluctuating"
"GSM4550752","FAH2M","adult","male","fluctuating"
"GSM4550753","FAH3F","adult","female","fluctuating"
"GSM4550754","FAH3M","adult","male","fluctuating"
"GSM4550755","FAH4F","adult","female","fluctuating"
"GSM4550756","FAH4M","adult","male","fluctuating"
"GSM4550757","FAH5F","adult","female","fluctuating"
"GSM4550758","FAH5M","adult","male","fluctuating"
"GSM4550759","FAH6F","adult","female","fluctuating"
"GSM4550760","FAH6M","adult","male","fluctuating"
"GSM4550761","FAH7F","adult","female","fluctuating"
"GSM4550762","FAH7M","adult","male","fluctuating"
"GSM4550763","FAH8F","adult","female","fluctuating"
"GSM4550764","FAH8M","adult","male","fluctuating"
"GSM4550765","FAL1F","adult","female","fluctuating"
"GSM4550766","FAL1M","adult","male","fluctuating"
"GSM4550767","FAL2F","adult","female","fluctuating"
"GSM4550768","FAL2M","adult","male","fluctuating"
"GSM4550769","FAL3F","adult","female","fluctuating"
"GSM4550770","FAL3M","adult","male","fluctuating"
"GSM4550771","FAL4F","adult","female","fluctuating"
"GSM4550772","FAL4M","adult","male","fluctuating"
"GSM4550773","FAL5F","adult","female","fluctuating"
"GSM4550774","FAL5M","adult","male","fluctuating"
"GSM4550775","FAL6F","adult","female","fluctuating"
"GSM4550776","FAL6M","adult","male","fluctuating"
"GSM4550777","FAL7F","adult","female","fluctuating"
"GSM4550778","FAL7M","adult","male","fluctuating"
"GSM4550779","FAL8F","adult","female","fluctuating"
"GSM4550780","FAL8M","adult","male","fluctuating"
"GSM4550781","FLH1","larvae","unknown","fluctuating"
"GSM4550782","FLH2","larvae","unknown","fluctuating"
"GSM4550783","FLH3","larvae","unknown","fluctuating"
"GSM4550784","FLH4","larvae","unknown","fluctuating"
"GSM4550785","FLL1","larvae","unknown","fluctuating"
"GSM4550786","FLL2","larvae","unknown","fluctuating"
"GSM4550787","FLL3","larvae","unknown","fluctuating"
"GSM4550788","FLL4","larvae","unknown","fluctuating"
